publication_title,discipline,initial_date,last_date,title_id,coverage_depth,publisher_name,publication_type
Publications of the Astronomical Society of the Pacific,Astronomy ; Science & Mathematics,1889-02-07,12/1/13,publastrsocipaci,fulltext,Astronomical Society of the Pacific,serial
Annals of Botany,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1887-08-01,12/1/11,annabota,fulltext,Oxford University Press,serial
The Bryologist,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1898-01-01,12/1/13,bryologist,fulltext,American Bryological and Lichenological Society,serial
The American Naturalist,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1867-03-01,12/1/13,amernatu,fulltext,The University of Chicago Press,serial
Transactions of the American Entomological Society (1890-),Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1890-01-01,6/1/17,tranamerentosoc3,fulltext,American Entomological Society,serial
Journal of the Elisha Mitchell Scientific Society,Biological Sciences ; General Science ; Science & Mathematics,1883-01-01,12/1/01,jelismitcsciesoc,fulltext,"North Carolina Academy of Sciences, Inc.",serial
Science,Biological Sciences ; General Science ; Science & Mathematics,1880-07-03,12/23/11,science,fulltext,American Association for the Advancement of Science,serial
Biological Bulletin,Biological Sciences ; Science & Mathematics,1899-10-01,12/1/15,biolbull,fulltext,The University of Chicago Press,serial
Proceedings of the Academy of Natural Sciences of Philadelphia,Biological Sciences ; Science & Mathematics,1841-03-01,3/1/13,procacadnatuscie,fulltext,Academy of Natural Sciences,serial
The Auk,Biological Sciences ; Science & Mathematics ; Zoology,1884-01-01,10/1/14,auk,fulltext,American Ornithological Society,serial
The Condor,Biological Sciences ; Science & Mathematics ; Zoology,1/1/00,11/1/14,condor,fulltext,American Ornithological Society,serial
Journal of the New York Entomological Society,Biological Sciences ; Science & Mathematics ; Zoology,1893-03-01,12/1/06,jnewyorkentosoci,fulltext,New York Entomological Society,serial
The Wilson Bulletin,Biological Sciences ; Science & Mathematics ; Zoology,1894-01-01,12/1/05,wilsbull,fulltext,Wilson Ornithological Society,serial
Contributions from the United States National Herbarium,Botany & Plant Sciences ; Science & Mathematics,1890-01-01,1/1/11,contusnatiherb,fulltext,"Department of Botany, Smithsonian Institution",serial
Rhodora,Botany & Plant Sciences ; Science & Mathematics,1899-01-01,10/1/11,rhodora,fulltext,"New England Botanical Club, Inc.",serial
The Economic Journal,Business ; Business & Economics ; Economics,1891-03-01,12/1/11,economicj,fulltext,Wiley,serial
Journal of Political Economy,Business ; Business & Economics ; Economics,1892-12-01,12/1/13,jpoliecon,fulltext,The University of Chicago Press,serial
The Quarterly Journal of Economics,Business ; Business & Economics ; Economics,1886-10-01,11/1/11,quarjecon,fulltext,Oxford University Press,serial
FinanzArchiv / Public Finance Analysis,Business ; Business & Economics ; Economics ; Finance,1884-01-01,12/1/11,finaarch,fulltext,Mohr Siebeck GmbH & Co. KG,serial
Revue d'í©conomie politique,Business & Economics ; Economics,1887-01-01,11/1/14,revueconpoli,fulltext,Editions Dalloz,serial
The Annals of the American Academy of Political and Social Science,Business & Economics ; Economics ; Political Science ; Social Sciences ; Sociology,1890-07-01,11/1/13,annaameracadpoli,fulltext,"Sage Publications, Inc.",serial
Jahrbí_cher fí_r Nationalí_konomie und Statistik / Journal of Economics and Statistics,Business & Economics ; Economics ; Science & Mathematics ; Statistics,1863-01-01,11/1/14,jahrnatistat,fulltext,Lucius & Lucius Verlagsgesellschaft mbH,serial
Scientific American,General Science ; Science & Mathematics,1845-08-28,12/1/12,scieamer,fulltext,"Scientific American, a division of Nature America, Inc.",serial
The Journal of Geology,Geography ; Geology ; History ; History of Science & Technology ; Paleontology ; Science & Mathematics ; Social Sciences,1893-01-01,11/1/13,jgeology,fulltext,The University of Chicago Press,serial
Annales de Gí©ographie,Geography ; Social Sciences,1891-10-15,11/1/13,annageog,fulltext,Armand Colin,serial
The Geographical Journal,Geography ; Social Sciences,1893-01-01,12/1/11,geographicalj,fulltext,Wiley,serial
Geographische Zeitschrift,Geography ; Social Sciences,1895-01-01,1/1/12,geogzeit,fulltext,Franz Steiner Verlag,serial
Revue d'Histoire littí©raire de la France,Humanities ; Language & Literature ; Linguistics ; Social Sciences,1894-01-01,10/1/13,revuhistlittfran,fulltext,Presses Universitaires de France,serial
American Journal of Mathematics,Mathematics ; Science & Mathematics,1878-01-01,12/1/11,amerjmath,fulltext,The Johns Hopkins University Press,serial
The American Mathematical Monthly,Mathematics ; Science & Mathematics,1894-01-01,12/1/13,amermathmont,fulltext,Mathematical Association of America,serial
Annals of Mathematics,Mathematics ; Science & Mathematics,1884-03-01,11/1/11,annamath,fulltext,Annals of Mathematics,serial
The Mathematical Gazette,Mathematics ; Science & Mathematics,1894-04-01,11/1/11,mathgaze,fulltext,The Mathematical Association,serial
Transactions of the American Mathematical Society,Mathematics ; Science & Mathematics,1/1/00,12/1/11,tranamermathsoci,fulltext,American Mathematical Society,serial
Political Science Quarterly,Political Science ; Social Sciences,1886-03-01,12/1/11,polisciequar,fulltext,The Academy of Political Science,serial
The American Journal of Psychology,Psychology ; Social Sciences,1887-11-01,11/20/13,amerjpsyc,fulltext,University of Illinois Press,serial
