title,discipline,ini_year,last_year,title_id,publisher,publication_type,source
Transactions of the American Philosophical Society,History ; History,1769,2013,tranamerphilsoci,American Philosophical Society,serial,jstor
Archiv fÃ_r die civilistische Praxis,Law ; Law,1818,2011,archciviprax,Mohr Siebeck GmbH & Co. KG,serial,jstor
The North American Review,Humanities ; Language & Literature,1821,2013,nortamerrev,University of Northern Iowa,serial,jstor
Rheinisches Museum fÃ_r Philologie,Classical Studies ; Humanities,1832,2013,rheimusephil,J.D. SauerlÃ_nders Verlag,serial,jstor
Proceedings of the American Philosophical Society,History ; History,1838,2013,procamerphilsoci,American Philosophical Society,serial,jstor
BibliothÃ¨que de lâ€™Ã‰cole des chartes,History ; History,1839,2011,biblecolchar,Librairie Droz,serial,jstor
Proceedings of the Academy of Natural Sciences of Philadelphia,Biological Sciences ; Science & Mathematics,1841,2013,procacadnatuscie,Academy of Natural Sciences,serial,jstor
Journal of the American Oriental Society,Area Studies ; Asian Studies ; Middle East Studies,1843,2013,jameroriesoci,American Oriental Society,serial,jstor
Revue ArchÃ©ologique,Archaeology ; Social Sciences,1844,2011,revuearch,Presses Universitaires de France,serial,jstor
Scientific American,General Science ; Science & Mathematics,1845,2012,scieamer,"Scientific American, a division of Nature America, Inc.",serial,jstor
Zeitschrift der Deutschen MorgenlÃ_ndischen Gesellschaft,Area Studies ; Asian Studies,1847,2011,zeitdeutmorggese,Harrassowitz Verlag,serial,jstor
Mnemosyne,Classical Studies ; Humanities,1852,2011,mnemosyne,Brill,serial,jstor
Ulster Journal of Archaeology,Archaeology ; Social Sciences,1853,2013,ulstjarch,Ulster Archaeological Society,serial,jstor
Transactions of the Moravian Historical Society,History ; History ; Humanities ; Religion,1857,2.00E+03,transmorahistsoc,Moravian Historical Society,serial,jstor
Historische Zeitschrift,History ; History,1859,2006,histzeit,Oldenbourg Wissenschaftsverlag GmbH (and its subsidiary Akademie Verlag GmbH),serial,jstor
Kritische Vierteljahresschrift fÃ_r Gesetzgebung und Rechtswissenschaft (KritV),Law ; Law,1859,2011,kritviergeserech,Nomos Verlagsgesellschaft mbH,serial,jstor
Annuaire-Bulletin de la SociÃ©tÃ© de l'histoire de France,History ; History,1863,2011,annbulsochistfra,Editions de Boccard,serial,jstor
JahrbÃ_cher fÃ_r NationalÃ¶konomie und Statistik / Journal of Economics and Statistics,Business & Economics ; Economics ; Science & Mathematics ; Statistics,1863,2014,jahrnatistat,Lucius & Lucius Verlagsgesellschaft mbH,serial,jstor
Transactions of the American Ophthalmological Society,Trans Am Ophthalmol Soc,1865,2017,na,American Ophthalmological Society,na,pmc europe
Hermes,Classical Studies ; Humanities,1866,2012,hermes,Franz Steiner Verlag,serial,jstor
The American Naturalist,Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1867,2013,amernatu,The University of Chicago Press,serial,jstor
The Journal of Speculative Philosophy,Humanities ; Philosophy,1867,2017,jspecphil,Penn State University Press,serial,jstor
Zeitschrift fÃ_r Ethnologie,Anthropology ; Social Sciences,1869,2014,zeitethn,Dietrich Reimer Verlag GmbH,serial,jstor
Annual Report of the Trustees of the Metropolitan Museum of Art,Art & Art History ; Arts,1871,2013,annreptrusmetmar,The Metropolitan Museum of Art,serial,jstor
Transactions of the Royal Historical Society,History ; History,1872,2011,tranroyahistsoci,Cambridge University Press,serial,jstor
Hermathena,Classical Studies ; Humanities,1873,2012,hermathena,Trinity College Dublin,serial,jstor
Il Foro Italiano,Law ; Law,1876,2009,foroital,Societa Editrice Il Foro Italiano ARL,serial,jstor
Mind,Humanities ; Philosophy,1876,2011,mind,Oxford University Press,serial,jstor
Revue Historique,History ; History,1876,2011,revuhist,Presses Universitaires de France,serial,jstor
Revue Philosophique de la France et de l'Ã‰tranger,Humanities ; Philosophy,1876,2011,revuphilfranetra,Presses Universitaires de France,serial,jstor
Zeitschrift fÃ_r deutsches Altertum und deutsche Literatur,Humanities ; Language & Literature,1876,2012,zeitdeutaltedeut,S. Hirzel Verlag,serial,jstor
The Pennsylvania Magazine of History and Biography,American Studies ; Area Studies ; History ; History,1877,2011,pennmaghistbio,The Historical Society of Pennsylvania,serial,jstor
Zeitschrift fÃ_r katholische Theologie,Humanities ; Religion,1877,2013,zeitkaththeo,Katholisch-Theologischen FakultÃ_t der UniversitÃ_t Innsbruck,serial,jstor
American Journal of Mathematics,Mathematics ; Science & Mathematics,1878,2011,amerjmath,The Johns Hopkins University Press,serial,jstor
The American Journal of Philology,Classical Studies ; Humanities ; Language & Literature ; Linguistics ; Social Sciences,1880,2011,amerjphil,The Johns Hopkins University Press,serial,jstor
The Journal of Hellenic Studies,Archaeology ; Classical Studies ; Humanities ; Social Sciences,1880,2013,jhellenicstudies,The Society for the Promotion of Hellenic Studies,serial,jstor
Revue de l'histoire des religions,Humanities ; Religion,1880,2013,revuhistreli,Association de la Revue de lâ€™histoire des religions,serial,jstor
Science,Biological Sciences ; General Science ; Science & Mathematics,1880,2011,science,American Association for the Advancement of Science,serial,jstor
Journal of the Elisha Mitchell Scientific Society,Biological Sciences ; General Science ; Science & Mathematics,1883,2001,jelismitcsciesoc,"North Carolina Academy of Sciences, Inc.",serial,jstor
Oud Holland,Art & Art History ; Arts,1883,2011,oudholland,Brill,serial,jstor
Romanische Forschungen,Humanities ; Language & Literature,1883,2011,romafors,Vittorio Klostermann GmbH,serial,jstor
Annals of Mathematics,Mathematics ; Science & Mathematics,1884,2011,annamath,Annals of Mathematics,serial,jstor
The Auk,Biological Sciences ; Science & Mathematics ; Zoology,1884,2014,auk,American Ornithological Society,serial,jstor
FinanzArchiv / Public Finance Analysis,Business ; Business & Economics ; Economics ; Finance,1884,2011,finaarch,Mohr Siebeck GmbH & Co. KG,serial,jstor
Revue d'Assyriologie et d'archÃ©ologie orientale,Archaeology ; Area Studies ; Art & Art History ; Arts ; Middle East Studies ; Social Sciences,1884,2011,revuassyarchorie,Presses Universitaires de France,serial,jstor
Archiv des Ã¶ffentlichen Rechts,Law ; Law,1885,2011,archofferech,Mohr Siebeck GmbH & Co. KG,serial,jstor
The English Historical Review,Area Studies ; British Studies ; History ; History,1886,2011,englhistrevi,Oxford University Press,serial,jstor
Political Science Quarterly,Political Science ; Social Sciences,1886,2011,polisciequar,The Academy of Political Science,serial,jstor
The Quarterly Journal of Economics,Business ; Business & Economics ; Economics,1886,2011,quarjecon,Oxford University Press,serial,jstor
The American Journal of Psychology,Psychology ; Social Sciences,1887,2013,amerjpsyc,University of Illinois Press,serial,jstor
Annals of Botany,Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics,1887,2011,annabota,Oxford University Press,serial,jstor
The Classical Review,Classical Studies ; Humanities,1887,2011,classicalreview,Cambridge University Press,serial,jstor
Harvard Law Review,Law ; Law,1887,2013,harvardlawreview,The Harvard Law Review Association,serial,jstor
Listy filologickÃ© / Folia philologica,Classical Studies ; Humanities ; Language & Literature,1887,2013,listfilofoliphil,Centre for Classical Studies at the Institute of Philosophy of the Czech Academy of Sciences,serial,jstor
Proceedings of the Aristotelian Society,Humanities ; Philosophy,1887,2011,procarissoci,Wiley,serial,jstor
Revue d'Ã©conomie politique,Business & Economics ; Economics,1887,2014,revueconpoli,Editions Dalloz,serial,jstor
Wiener Zeitschrift fÃ_r die Kunde des Morgenlandes,Area Studies ; Asian Studies ; Middle East Studies,1887,2013,wienzeitkundmorg,"Department of Oriental Studies, University of Vienna",serial,jstor
American Anthropologist,Anthropology ; Social Sciences,1888,2009,ameranth,Wiley,serial,jstor
The Jewish Quarterly Review,Area Studies ; Humanities ; Jewish Studies ; Religion,1888,2013,jewiquarrevi,University of Pennsylvania Press,serial,jstor
The Journal of American Folklore,American Studies ; Anthropology ; Area Studies ; Folklore ; Humanities ; Language & Literature ; Social Sciences,1888,2011,jamerfolk,University of Illinois Press,serial,jstor
Revue des Ã‰tudes Grecques,Archaeology ; Classical Studies ; Humanities ; Social Sciences,1888,2013,revuetudgrec,Revue des Ã‰tudes Grecques,serial,jstor
L'AnnÃ©e Ã©pigraphique,Archaeology ; Classical Studies ; Humanities ; Social Sciences,1889,2011,anneepig,Presses Universitaires de France,serial,jstor
PMLA,Humanities ; Language & Literature,1889,2011,pmla,Modern Language Association,serial,jstor
Publications of the Astronomical Society of the Pacific,Astronomy ; Science & Mathematics,1889,2013,publastrsocipaci,Astronomical Society of the Pacific,serial,jstor
Zeitschrift fÃ_r franzÃ¶sische Sprache und Literatur,Humanities ; Language & Literature,1889,2012,zeitfranspralite,Franz Steiner Verlag,serial,jstor
The Annals of the American Academy of Political and Social Science,Business & Economics ; Economics ; Political Science ; Social Sciences ; Sociology,1890,2013,annaameracadpoli,"Sage Publications, Inc.",serial,jstor
Contributions from the United States National Herbarium,Botany & Plant Sciences ; Science & Mathematics,1890,2011,contusnatiherb,"Department of Botany, Smithsonian Institution",serial,jstor
Folklore,Folklore ; Humanities,1890,2011,folklore,"Taylor & Francis, Ltd.",serial,jstor
Harvard Studies in Classical Philology,Classical Studies ; Humanities,1890,2013,harvstudclasphil,"Department of the Classics, Harvard University",serial,jstor
Journal of Biblical Literature,Humanities ; Religion,1890,2013,jbibllite,The Society of Biblical Literature,serial,jstor
The Journal of the Royal Society of Antiquaries of Ireland,Archaeology ; Area Studies ; History ; History ; Irish Studies ; Social Sciences,1890,2011,jroysocantirel,Royal Society of Antiquaries of Ireland,serial,jstor
The Monist,History ; History of Science & Technology ; Humanities ; Philosophy,1890,2013,themonist,Oxford University Press,serial,jstor
T'oung Pao,Area Studies ; Asian Studies ; Humanities ; Language & Literature,1890,2011,toungpao,Brill,serial,jstor
Transactions of the American Entomological Society (1890-),Biological Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics,1890,2017,tranamerentosoc3,American Entomological Society,serial,jstor
Annales de GÃ©ographie,Geography ; Social Sciences,1891,2013,annageog,Armand Colin,serial,jstor
The Economic Journal,Business ; Business & Economics ; Economics,1891,2011,economicj,Wiley,serial,jstor
The Yale Law Journal,Law ; Law,1891,2013,yalelawj,"The Yale Law Journal Company, Inc.",serial,jstor
